Genesis 1:14	120	mark	john-mark	john-mark
Genesis 3:17	3	Adam	adam	adam
Genesis 3:20	24	Eve	eve	eve
Genesis 3:21	42	Adam	adam	adam
Genesis 4:1	13	Eve	eve	eve
Genesis 4:1	60	Cain	cain	cain
Genesis 4:2	25	Cain	cain	cain
Genesis 4:2	40	Abel	abel	abel
Genesis 4:2	46	Abel	abel	abel
Genesis 4:2	78	Cain	cain	cain
Genesis 4:3	16	Cain	cain	cain
Genesis 4:4	0	Abel	abel	abel
Genesis 4:4	86	Abel	abel	abel
Genesis 4:5	22	Cain	cain	cain
Genesis 4:5	45	Cain	cain	cain
Genesis 4:6	15	Cain	cain	cain
Genesis 4:8	0	Cain	cain	cain
Genesis 4:8	13	Abel	abel	abel
Genesis 4:8	89	Cain	cain	cain
Genesis 4:8	110	Abel	abel	abel
Genesis 4:9	15	Cain	cain	cain
Genesis 4:9	31	Abel	abel	abel
Genesis 4:13	0	Cain	cain	cain
Genesis 4:15	45	Cain	cain	cain
Genesis 4:15	122	Cain	cain	cain
Genesis 4:16	0	Cain	cain	cain
Genesis 4:17	0	Cain	cain	cain
Genesis 4:17	53	Enoch	-	enoch
Genesis 4:17	137	Enoch	-	enoch
Genesis 4:18	3	Enoch	-	enoch
Genesis 4:22	32	Cain	cain	cain
Genesis 4:22	102	Cain	cain	cain
Genesis 4:24	3	Cain	cain	cain
Genesis 4:25	0	Adam	adam	adam
Genesis 4:25	126	Abel	abel	abel
Genesis 4:25	136	Cain	cain	cain
Genesis 5:1	39	Adam	adam	adam
Genesis 5:2	96	Adam	adam	adam
Genesis 5:3	0	Adam	adam	adam
Genesis 5:4	12	Adam	adam	adam
Genesis 5:5	18	Adam	adam	adam
Genesis 5:18	67	Enoch	enoch	enoch
Genesis 5:19	42	Enoch	enoch	enoch
Genesis 5:21	0	Enoch	enoch	enoch
Genesis 5:22	26	Enoch	enoch	enoch
Genesis 5:23	16	Enoch	enoch	enoch
Genesis 5:24	0	Enoch	enoch	enoch
Genesis 5:29	13	Noah	noah	noah
Genesis 5:30	43	Noah	noah	noah
Genesis 5:32	0	Noah	noah	noah
Genesis 5:32	38	Noah	noah	noah
Genesis 6:8	4	Noah	noah	noah
Genesis 6:9	42	Noah	noah	noah
Genesis 6:9	48	Noah	noah	noah
Genesis 6:9	114	Noah	noah	noah
Genesis 6:10	0	Noah	noah	noah
Genesis 6:13	12	Noah	noah	noah
Genesis 6:22	5	Noah	noah	noah
Genesis 7:1	15	Noah	noah	noah
Genesis 7:5	0	Noah	noah	noah
Genesis 7:6	0	Noah	noah	noah
Genesis 7:7	0	Noah	noah	noah
Genesis 7:9	17	Noah	noah	noah
Genesis 7:9	71	Noah	noah	noah
Genesis 7:11	29	Noah	noah	noah
Genesis 7:13	16	Noah	noah	noah
Genesis 7:13	63	Noah	noah	noah
Genesis 7:13	74	Noah	noah	noah
Genesis 7:15	75	Noah	noah	noah
Genesis 7:23	178	Noah	noah	noah
Genesis 8:1	15	Noah	noah	noah
Genesis 8:6	26	Noah	noah	noah
Genesis 8:11	100	Noah	noah	noah
Genesis 8:13	120	Noah	noah	noah
Genesis 8:15	13	Noah	noah	noah
Genesis 8:18	0	Noah	noah	noah
Genesis 8:20	0	Noah	noah	noah
Genesis 9:1	12	Noah	noah	noah
Genesis 9:8	13	Noah	noah	noah
Genesis 9:17	12	Noah	noah	noah
Genesis 9:18	12	Noah	noah	noah
Genesis 9:19	29	Noah	noah	noah
Genesis 9:20	0	Noah	noah	noah
Genesis 9:24	0	Noah	noah	noah
Genesis 9:28	0	Noah	noah	noah
Genesis 9:29	16	Noah	noah	noah
Genesis 10:1	58	Noah	noah	noah
Genesis 10:32	38	Noah	noah	noah
Genesis 11:26	52	Abram	abraham	abraham
Genesis 11:27	80	Abram	abraham	abraham
Genesis 11:29	0	Abram	abraham	abraham
Genesis 11:29	43	Abram	abraham	abraham
Genesis 11:29	60	Sarai	sarah	sarah
Genesis 11:30	0	Sarai	sarah	sarah
Genesis 11:31	11	Abram	abraham	abraham
Genesis 11:31	67	Sarai	sarah	sarah
Genesis 11:31	102	Abram	abraham	abraham
Genesis 12:1	19	Abram	abraham	abraham
Genesis 12:4	3	Abram	abraham	abraham
Genesis 12:4	58	Abram	abraham	abraham
Genesis 12:5	0	Abram	abraham	abraham
Genesis 12:5	11	Sarai	sarah	sarah
Genesis 12:6	0	Abram	abraham	abraham
Genesis 12:7	19	Abram	abraham	abraham
Genesis 12:9	0	Abram	abraham	abraham
Genesis 12:10	32	Abram	abraham	abraham
Genesis 12:11	49	Sarai	sarah	sarah
Genesis 12:14	5	Abram	abraham	abraham
Genesis 12:16	19	Abram	abraham	abraham
Genesis 12:17	69	Sarai	sarah	sarah
Genesis 12:17	76	Abram	abraham	abraham
Genesis 12:18	15	Abram	abraham	abraham
Genesis 13:1	0	Abram	abraham	abraham
Genesis 13:2	0	Abram	abraham	abraham
Genesis 13:4	71	Abram	abraham	abraham
Genesis 13:5	24	Abram	abraham	abraham
Genesis 13:7	41	Abram	abraham	abraham
Genesis 13:8	0	Abram	abraham	abraham
Genesis 13:12	0	Abram	abraham	abraham
Genesis 13:14	15	Abram	abraham	abraham
Genesis 13:18	0	Abram	abraham	abraham
Genesis 14:12	15	Abram	abraham	abraham
Genesis 14:13	34	Abram	abraham	abraham
Genesis 14:13	175	Abram	abraham	abraham
Genesis 14:14	5	Abram	abraham	abraham
Genesis 14:18	0	Melchizedek	melchizedek	melchizedek
Genesis 14:19	38	Abram	abraham	abraham
Genesis 14:20	78	Abram	abraham	abraham
Genesis 14:21	26	Abram	abraham	abraham
Genesis 14:22	0	Abram	abraham	abraham
Genesis 14:23	111	Abram	abraham	abraham
Genesis 15:1	41	Abram	abraham	abraham
Genesis 15:1	86	Abram	abraham	abraham
Genesis 15:2	0	Abram	abraham	abraham
Genesis 15:3	0	Abram	abraham	abraham
Genesis 15:5	128	Abram	abraham	abraham
Genesis 15:7	11	Abram	abraham	abraham
Genesis 15:9	85	ram	-	ram-son-of-hezron
Genesis 15:11	50	Abram	abraham	abraham
Genesis 15:12	50	Abram	abraham	abraham
Genesis 15:13	11	Abram	abraham	abraham
Genesis 15:18	40	Abram	abraham	abraham
Genesis 16:1	4	Sarai	sarah	sarah
Genesis 16:1	11	Abram	abraham	abraham
Genesis 16:1	94	Hagar	hagar	hagar
Genesis 16:2	0	Sarai	sarah	sarah
Genesis 16:2	14	Abram	abraham	abraham
Genesis 16:2	145	Abram	abraham	abraham
Genesis 16:2	176	Sarai	sarah	sarah
Genesis 16:3	0	Sarai	sarah	sarah
Genesis 16:3	7	Abram	abraham	abraham
Genesis 16:3	26	Hagar	hagar	hagar
Genesis 16:3	65	Abram	abraham	abraham
Genesis 16:3	130	Abram	abraham	abraham
Genesis 16:4	14	Hagar	hagar	hagar
Genesis 16:5	0	Sarai	sarah	sarah
Genesis 16:5	14	Abram	abraham	abraham
Genesis 16:6	4	Abram	abraham	abraham
Genesis 16:6	18	Sarai	sarah	sarah
Genesis 16:6	103	Sarai	sarah	sarah
Genesis 16:8	10	Hagar	hagar	hagar
Genesis 16:8	17	Sarai	sarah	sarah
Genesis 16:8	134	Sarai	sarah	sarah
Genesis 16:15	0	Hagar	hagar	hagar
Genesis 16:15	21	Abram	abraham	abraham
Genesis 16:15	28	Abram	abraham	abraham
Genesis 16:15	67	Hagar	hagar	hagar
Genesis 16:16	0	Abram	abraham	abraham
Genesis 16:16	36	Hagar	hagar	hagar
Genesis 16:16	58	Abram	abraham	abraham
Genesis 17:1	5	Abram	abraham	abraham
Genesis 17:1	57	Abram	abraham	abraham
Genesis 17:3	0	Abram	abraham	abraham
Genesis 17:5	33	Abram	abraham	abraham
Genesis 17:5	62	Abraham	abraham	abraham
Genesis 17:9	12	Abraham	abraham	abraham
Genesis 17:15	12	Abraham	abraham	abraham
Genesis 17:15	29	Sarai	sarah	sarah
Genesis 17:15	74	Sarai	sarah	sarah
Genesis 17:15	102	Sarah	sarah	sarah
Genesis 17:17	5	Abraham	abraham	abraham
Genesis 17:17	131	Sarah	sarah	sarah
Genesis 17:18	0	Abraham	abraham	abraham
Genesis 17:19	19	Sarah	sarah	sarah
Genesis 17:19	82	Isaac	isaac	isaac
Genesis 17:21	33	Isaac	isaac	isaac
Genesis 17:21	45	Sarah	sarah	sarah
Genesis 17:22	52	Abraham	abraham	abraham
Genesis 17:23	0	Abraham	abraham	abraham
Genesis 17:23	130	Abraham	abraham	abraham
Genesis 17:24	0	Abraham	abraham	abraham
Genesis 17:26	21	Abraham	abraham	abraham
Genesis 18:6	0	Abraham	abraham	abraham
Genesis 18:6	33	Sarah	sarah	sarah
Genesis 18:7	0	Abraham	abraham	abraham
Genesis 18:9	26	Sarah	sarah	sarah
Genesis 18:10	83	Sarah	sarah	sarah
Genesis 18:10	117	Sarah	sarah	sarah
Genesis 18:11	4	Abraham	abraham	abraham
Genesis 18:11	16	Sarah	sarah	sarah
Genesis 18:11	54	Sarah	sarah	sarah
Genesis 18:12	0	Sarah	sarah	sarah
Genesis 18:13	15	Abraham	abraham	abraham
Genesis 18:13	33	Sarah	sarah	sarah
Genesis 18:14	104	Sarah	sarah	sarah
Genesis 18:15	5	Sarah	sarah	sarah
Genesis 18:16	53	Abraham	abraham	abraham
Genesis 18:17	31	Abraham	abraham	abraham
Genesis 18:18	6	Abraham	abraham	abraham
Genesis 18:19	202	Abraham	abraham	abraham
Genesis 18:22	54	Abraham	abraham	abraham
Genesis 18:23	0	Abraham	abraham	abraham
Genesis 18:27	0	Abraham	abraham	abraham
Genesis 18:33	63	Abraham	abraham	abraham
Genesis 18:33	76	Abraham	abraham	abraham
Genesis 19:27	0	Abraham	abraham	abraham
Genesis 19:29	59	Abraham	abraham	abraham
Genesis 20:1	0	Abraham	abraham	abraham
Genesis 20:2	0	Abraham	abraham	abraham
Genesis 20:2	19	Sarah	sarah	sarah
Genesis 20:2	94	Sarah	sarah	sarah
Genesis 20:9	22	Abraham	abraham	abraham
Genesis 20:10	18	Abraham	abraham	abraham
Genesis 20:11	0	Abraham	abraham	abraham
Genesis 20:14	85	Abraham	abraham	abraham
Genesis 20:14	107	Sarah	sarah	sarah
Genesis 20:16	3	Sarah	sarah	sarah
Genesis 20:17	0	Abraham	abraham	abraham
Genesis 20:18	83	Sarah	sarah	sarah
Genesis 20:18	90	Abraham	abraham	abraham
Genesis 21:1	15	Sarah	sarah	sarah
Genesis 21:1	55	Sarah	sarah	sarah
Genesis 21:2	0	Sarah	sarah	sarah
Genesis 21:2	26	Abraham	abraham	abraham
Genesis 21:3	0	Abraham	abraham	abraham
Genesis 21:3	49	Sarah	sarah	sarah
Genesis 21:3	68	Isaac	isaac	isaac
Genesis 21:4	0	Abraham	abraham	abraham
Genesis 21:4	29	Isaac	isaac	isaac
Genesis 21:5	0	Abraham	abraham	abraham
Genesis 21:5	48	Isaac	isaac	isaac
Genesis 21:6	0	Sarah	sarah	sarah
Genesis 21:7	34	Abraham	abraham	abraham
Genesis 21:7	48	Sarah	sarah	sarah
Genesis 21:8	32	Abraham	abraham	abraham
Genesis 21:8	75	Isaac	isaac	isaac
Genesis 21:9	0	Sarah	sarah	sarah
Genesis 21:9	21	Hagar	hagar	hagar
Genesis 21:9	63	Abraham	abraham	abraham
Genesis 21:10	22	Abraham	abraham	abraham
Genesis 21:10	125	Isaac	isaac	isaac
Genesis 21:11	31	Abraham	abraham	abraham
Genesis 21:12	12	Abraham	abraham	abraham
Genesis 21:12	122	Sarah	sarah	sarah
Genesis 21:12	207	Isaac	isaac	isaac
Genesis 21:14	0	Abraham	abraham	abraham
Genesis 21:14	91	Hagar	hagar	hagar
Genesis 21:17	59	Hagar	hagar	hagar
Genesis 21:17	114	Hagar	hagar	hagar
Genesis 21:22	68	Abraham	abraham	abraham
Genesis 21:24	0	Abraham	abraham	abraham
Genesis 21:25	0	Abraham	abraham	abraham
Genesis 21:27	0	Abraham	abraham	abraham
Genesis 21:28	0	Abraham	abraham	abraham
Genesis 21:29	18	Abraham	abraham	abraham
Genesis 21:33	0	Abraham	abraham	abraham
Genesis 21:34	0	Abraham	abraham	abraham
Genesis 22:1	31	Abraham	abraham	abraham
Genesis 22:1	58	Abraham	abraham	abraham
Genesis 22:2	64	Isaac	isaac	isaac
Genesis 22:3	0	Abraham	abraham	abraham
Genesis 22:3	103	Isaac	isaac	isaac
Genesis 22:4	17	Abraham	abraham	abraham
Genesis 22:5	0	Abraham	abraham	abraham
Genesis 22:6	0	Abraham	abraham	abraham
Genesis 22:6	59	Isaac	isaac	isaac
Genesis 22:7	0	Isaac	isaac	isaac
Genesis 22:7	15	Abraham	abraham	abraham
Genesis 22:8	0	Abraham	abraham	abraham
Genesis 22:9	50	Abraham	abraham	abraham
Genesis 22:9	115	Isaac	isaac	isaac
Genesis 22:10	0	Abraham	abraham	abraham
Genesis 22:11	56	Abraham	abraham	abraham
Genesis 22:11	65	Abraham	abraham	abraham
Genesis 22:13	0	Abraham	abraham	abraham
Genesis 22:13	70	ram	-	ram-son-of-hezron
Genesis 22:13	110	Abraham	abraham	abraham
Genesis 22:13	136	ram	-	ram-son-of-hezron
Genesis 22:14	0	Abraham	abraham	abraham
Genesis 22:15	25	Abraham	abraham	abraham
Genesis 22:19	3	Abraham	abraham	abraham
Genesis 22:19	87	Abraham	abraham	abraham
Genesis 22:20	20	Abraham	abraham	abraham
Genesis 22:23	29	Rebekah	rebekah	rebekah
Genesis 22:23	72	Abraham	abraham	abraham
Genesis 23:1	0	Sarah	sarah	sarah
Genesis 23:1	67	Sarah	sarah	sarah
Genesis 23:2	0	Sarah	sarah	sarah
Genesis 23:2	72	Abraham	abraham	abraham
Genesis 23:2	98	Sarah	sarah	sarah
Genesis 23:3	0	Abraham	abraham	abraham
Genesis 23:5	30	Abraham	abraham	abraham
Genesis 23:7	0	Abraham	abraham	abraham
Genesis 23:10	90	Abraham	abraham	abraham
Genesis 23:12	0	Abraham	abraham	abraham
Genesis 23:14	16	Abraham	abraham	abraham
Genesis 23:16	0	Abraham	abraham	abraham
Genesis 23:16	28	Abraham	abraham	abraham
Genesis 23:18	3	Abraham	abraham	abraham
Genesis 23:19	12	Abraham	abraham	abraham
Genesis 23:19	27	Sarah	sarah	sarah
Genesis 23:20	54	Abraham	abraham	abraham
Genesis 24:1	0	Abraham	abraham	abraham
Genesis 24:1	62	Abraham	abraham	abraham
Genesis 24:2	0	Abraham	abraham	abraham
Genesis 24:4	80	Isaac	isaac	isaac
Genesis 24:6	0	Abraham	abraham	abraham
Genesis 24:9	44	Abraham	abraham	abraham
Genesis 24:12	39	Abraham	abraham	abraham
Genesis 24:12	109	Abraham	abraham	abraham
Genesis 24:14	231	Isaac	isaac	isaac
Genesis 24:15	41	Rebekah	rebekah	rebekah
Genesis 24:15	121	Abraham	abraham	abraham
Genesis 24:27	50	Abraham	abraham	abraham
Genesis 24:29	0	Rebekah	rebekah	rebekah
Genesis 24:30	94	Rebekah	rebekah	rebekah
Genesis 24:34	15	Abraham	abraham	abraham
Genesis 24:36	0	Sarah	sarah	sarah
Genesis 24:42	68	Abraham	abraham	abraham
Genesis 24:45	52	Rebekah	rebekah	rebekah
Genesis 24:48	80	Abraham	abraham	abraham
Genesis 24:51	8	Rebekah	rebekah	rebekah
Genesis 24:52	5	Abraham	abraham	abraham
Genesis 24:53	93	Rebekah	rebekah	rebekah
Genesis 24:58	12	Rebekah	rebekah	rebekah
Genesis 24:59	15	Rebekah	rebekah	rebekah
Genesis 24:59	54	Abraham	abraham	abraham
Genesis 24:60	13	Rebekah	rebekah	rebekah
Genesis 24:61	0	Rebekah	rebekah	rebekah
Genesis 24:61	95	Rebekah	rebekah	rebekah
Genesis 24:62	0	Isaac	isaac	isaac
Genesis 24:63	0	Isaac	isaac	isaac
Genesis 24:64	0	Rebekah	rebekah	rebekah
Genesis 24:64	45	Isaac	isaac	isaac
Genesis 24:66	17	Isaac	isaac	isaac
Genesis 24:67	0	Isaac	isaac	isaac
Genesis 24:67	34	Sarah	sarah	sarah
Genesis 24:67	57	Rebekah	rebekah	rebekah
Genesis 24:67	105	Isaac	isaac	isaac
Genesis 25:1	0	Abraham	abraham	abraham
Genesis 25:5	0	Abraham	abraham	abraham
Genesis 25:5	32	Isaac	isaac	isaac
Genesis 25:6	19	Abraham	abraham	abraham
Genesis 25:6	41	Abraham	abraham	abraham
Genesis 25:6	84	Isaac	isaac	isaac
Genesis 25:7	35	Abraham	abraham	abraham
Genesis 25:8	0	Abraham	abraham	abraham
Genesis 25:9	0	Isaac	isaac	isaac
Genesis 25:10	16	Abraham	abraham	abraham
Genesis 25:10	59	Abraham	abraham	abraham
Genesis 25:10	89	Sarah	sarah	sarah
Genesis 25:11	40	Isaac	isaac	isaac
Genesis 25:11	56	Isaac	isaac	isaac
Genesis 25:12	55	Abraham	abraham	abraham
Genesis 25:12	75	Hagar	hagar	hagar
Genesis 25:12	95	Sarah	sarah	sarah
Genesis 25:12	120	Abraham	abraham	abraham
Genesis 25:19	42	Isaac	isaac	isaac
Genesis 25:19	49	Abraham	abraham	abraham
Genesis 25:19	64	Abraham	abraham	abraham
Genesis 25:19	93	Isaac	isaac	isaac
Genesis 25:20	0	Isaac	isaac	isaac
Genesis 25:20	39	Rebekah	rebekah	rebekah
Genesis 25:21	0	Isaac	isaac	isaac
Genesis 25:21	94	Rebekah	rebekah	rebekah
Genesis 25:25	70	Esau	esau	esau
Genesis 25:26	59	Esau	esau	esau
Genesis 25:26	85	Jacob	jacob	jacob
Genesis 25:26	92	Isaac	isaac	isaac
Genesis 25:27	15	Esau	esau	esau
Genesis 25:27	63	Jacob	jacob	jacob
Genesis 25:28	4	Isaac	isaac	isaac
Genesis 25:28	16	Esau	esau	esau
Genesis 25:28	50	Rebekah	rebekah	rebekah
Genesis 25:28	64	Jacob	jacob	jacob
Genesis 25:29	0	Jacob	jacob	jacob
Genesis 25:29	19	Esau	esau	esau
Genesis 25:30	0	Esau	esau	esau
Genesis 25:30	13	Jacob	jacob	jacob
Genesis 25:30	111	Edom	esau	edom
Genesis 25:31	0	Jacob	jacob	jacob
Genesis 25:32	0	Esau	esau	esau
Genesis 25:33	0	Jacob	jacob	jacob
Genesis 25:33	76	Jacob	jacob	jacob
Genesis 25:34	0	Jacob	jacob	jacob
Genesis 25:34	11	Esau	esau	esau
Genesis 25:34	91	Esau	esau	esau
Genesis 26:1	81	Abraham	abraham	abraham
Genesis 26:1	90	Isaac	isaac	isaac
Genesis 26:3	174	Abraham	abraham	abraham
Genesis 26:5	8	Abraham	abraham	abraham
Genesis 26:6	0	Isaac	isaac	isaac
Genesis 26:7	171	Rebekah	rebekah	rebekah
Genesis 26:8	116	Isaac	isaac	isaac
Genesis 26:8	136	Rebekah	rebekah	rebekah
Genesis 26:9	17	Isaac	isaac	isaac
Genesis 26:9	106	Isaac	isaac	isaac
Genesis 26:12	0	Isaac	isaac	isaac
Genesis 26:15	69	Abraham	abraham	abraham
Genesis 26:16	18	Isaac	isaac	isaac
Genesis 26:17	0	Isaac	isaac	isaac
Genesis 26:18	0	Isaac	isaac	isaac
Genesis 26:18	70	Abraham	abraham	abraham
Genesis 26:19	0	Isaac	isaac	isaac
Genesis 26:20	34	Isaac	isaac	isaac
Genesis 26:24	66	Abraham	abraham	abraham
Genesis 26:24	186	Abraham	abraham	abraham
Genesis 26:25	88	Isaac	isaac	isaac
Genesis 26:27	0	Isaac	isaac	isaac
Genesis 26:31	65	Isaac	isaac	isaac
Genesis 26:32	14	Isaac	isaac	isaac
Genesis 26:34	5	Esau	esau	esau
Genesis 26:35	13	Isaac	isaac	isaac
Genesis 26:35	25	Rebekah	rebekah	rebekah
Genesis 27:1	5	Isaac	isaac	isaac
Genesis 27:1	79	Esau	esau	esau
Genesis 27:5	0	Rebekah	rebekah	rebekah
Genesis 27:5	19	Isaac	isaac	isaac
Genesis 27:5	34	Esau	esau	esau
Genesis 27:5	48	Esau	esau	esau
Genesis 27:6	0	Rebekah	rebekah	rebekah
Genesis 27:6	17	Jacob	jacob	jacob
Genesis 27:6	78	Esau	esau	esau
Genesis 27:11	0	Jacob	jacob	jacob
Genesis 27:11	14	Rebekah	rebekah	rebekah
Genesis 27:11	43	Esau	esau	esau
Genesis 27:15	0	Rebekah	rebekah	rebekah
Genesis 27:15	33	Esau	esau	esau
Genesis 27:15	104	Jacob	jacob	jacob
Genesis 27:17	89	Jacob	jacob	jacob
Genesis 27:19	0	Jacob	jacob	jacob
Genesis 27:19	32	Esau	esau	esau
Genesis 27:20	0	Isaac	isaac	isaac
Genesis 27:21	0	Isaac	isaac	isaac
Genesis 27:21	14	Jacob	jacob	jacob
Genesis 27:21	99	Esau	esau	esau
Genesis 27:22	0	Jacob	jacob	jacob
Genesis 27:22	19	Isaac	isaac	isaac
Genesis 27:22	74	Jacob	jacob	jacob
Genesis 27:22	120	Esau	esau	esau
Genesis 27:23	73	Esau	esau	esau
Genesis 27:24	32	Esau	esau	esau
Genesis 27:26	11	Isaac	isaac	isaac
Genesis 27:30	11	Isaac	isaac	isaac
Genesis 27:30	39	Jacob	jacob	jacob
Genesis 27:30	50	Jacob	jacob	jacob
Genesis 27:30	95	Isaac	isaac	isaac
Genesis 27:30	113	Esau	esau	esau
Genesis 27:32	0	Isaac	isaac	isaac
Genesis 27:32	86	Esau	esau	esau
Genesis 27:33	0	Isaac	isaac	isaac
Genesis 27:34	5	Esau	esau	esau
Genesis 27:36	33	Jacob	jacob	jacob
Genesis 27:37	0	Isaac	isaac	isaac
Genesis 27:37	15	Esau	esau	esau
Genesis 27:38	0	Esau	esau	esau
Genesis 27:38	100	Esau	esau	esau
Genesis 27:39	0	Isaac	isaac	isaac
Genesis 27:41	0	Esau	esau	esau
Genesis 27:41	11	Jacob	jacob	jacob
Genesis 27:41	76	Esau	esau	esau
Genesis 27:41	177	Jacob	jacob	jacob
Genesis 27:42	13	Esau	esau	esau
Genesis 27:42	47	Rebekah	rebekah	rebekah
Genesis 27:42	76	Jacob	jacob	jacob
Genesis 27:42	139	Esau	esau	esau
Genesis 27:46	0	Rebekah	rebekah	rebekah
Genesis 27:46	16	Isaac	isaac	isaac
Genesis 27:46	83	Jacob	jacob	jacob
Genesis 28:1	0	Isaac	isaac	isaac
Genesis 28:1	13	Jacob	jacob	jacob
Genesis 28:4	29	Abraham	abraham	abraham
Genesis 28:4	144	Abraham	abraham	abraham
Genesis 28:5	0	Isaac	isaac	isaac
Genesis 28:5	11	Jacob	jacob	jacob
Genesis 28:5	83	Rebekah	rebekah	rebekah
Genesis 28:5	102	Jacob	jacob	jacob
Genesis 28:5	114	Esau	esau	esau
Genesis 28:6	4	Esau	esau	esau
Genesis 28:6	18	Isaac	isaac	isaac
Genesis 28:6	36	Jacob	jacob	jacob
Genesis 28:7	9	Jacob	jacob	jacob
Genesis 28:8	0	Esau	esau	esau
Genesis 28:8	52	Isaac	isaac	isaac
Genesis 28:9	0	Esau	esau	esau
Genesis 28:9	97	Abraham	abraham	abraham
Genesis 28:10	0	Jacob	jacob	jacob
Genesis 28:13	66	Abraham	abraham	abraham
Genesis 28:13	102	Isaac	isaac	isaac
Genesis 28:16	0	Jacob	jacob	jacob
Genesis 28:18	0	Jacob	jacob	jacob
Genesis 28:20	0	Jacob	jacob	jacob
Genesis 29:1	5	Jacob	jacob	jacob
Genesis 29:4	0	Jacob	jacob	jacob
Genesis 29:6	69	Rachel	rachel	rachel
Genesis 29:9	37	Rachel	rachel	rachel
Genesis 29:10	5	Jacob	jacob	jacob
Genesis 29:10	15	Rachel	rachel	rachel
Genesis 29:10	113	Jacob	jacob	jacob
Genesis 29:11	0	Jacob	jacob	jacob
Genesis 29:11	13	Rachel	rachel	rachel
Genesis 29:12	0	Jacob	jacob	jacob
Genesis 29:12	11	Rachel	rachel	rachel
Genesis 29:12	68	Rebekah	rebekah	rebekah
Genesis 29:13	29	Jacob	jacob	jacob
Genesis 29:13	69	Jacob	jacob	jacob
Genesis 29:13	140	Jacob	jacob	jacob
Genesis 29:15	14	Jacob	jacob	jacob
Genesis 29:16	51	Leah	leah	leah
Genesis 29:16	89	Rachel	rachel	rachel
Genesis 29:17	0	Leah	leah	leah
Genesis 29:17	27	Rachel	rachel	rachel
Genesis 29:18	0	Jacob	jacob	jacob
Genesis 29:18	12	Rachel	rachel	rachel
Genesis 29:18	63	Rachel	rachel	rachel
Genesis 29:20	0	Jacob	jacob	jacob
Genesis 29:20	29	Rachel	rachel	rachel
Genesis 29:21	0	Jacob	jacob	jacob
Genesis 29:23	24	Leah	leah	leah
Genesis 29:24	46	Leah	leah	leah
Genesis 29:25	31	Leah	leah	leah
Genesis 29:25	118	Rachel	rachel	rachel
Genesis 29:28	0	Jacob	jacob	jacob
Genesis 29:28	50	Rachel	rachel	rachel
Genesis 29:29	14	Rachel	rachel	rachel
Genesis 29:30	19	Rachel	rachel	rachel
Genesis 29:30	45	Rachel	rachel	rachel
Genesis 29:30	62	Leah	leah	leah
Genesis 29:31	16	Leah	leah	leah
Genesis 29:31	60	Rachel	rachel	rachel
Genesis 29:32	0	Leah	leah	leah
Genesis 29:33	146	Simeon	-	simeon-at-the-temple
Genesis 29:34	159	Levi	-	matthew-levi
Genesis 30:1	5	Rachel	rachel	rachel
Genesis 30:1	30	Jacob	jacob	jacob
Genesis 30:1	49	Rachel	rachel	rachel
Genesis 30:1	87	Jacob	jacob	jacob
Genesis 30:2	0	Jacob	jacob	jacob
Genesis 30:2	29	Rachel	rachel	rachel
Genesis 30:4	45	Jacob	jacob	jacob
Genesis 30:5	27	Jacob	jacob	jacob
Genesis 30:6	0	Rachel	rachel	rachel
Genesis 30:7	8	Rachel	rachel	rachel
Genesis 30:7	52	Jacob	jacob	jacob
Genesis 30:8	0	Rachel	rachel	rachel
Genesis 30:9	5	Leah	leah	leah
Genesis 30:9	91	Jacob	jacob	jacob
Genesis 30:10	8	Leah	leah	leah
Genesis 30:10	29	Jacob	jacob	jacob
Genesis 30:11	0	Leah	leah	leah
Genesis 30:12	8	Leah	leah	leah
Genesis 30:12	29	Jacob	jacob	jacob
Genesis 30:13	0	Leah	leah	leah
Genesis 30:14	108	Leah	leah	leah
Genesis 30:14	119	Rachel	rachel	rachel
Genesis 30:14	134	Leah	leah	leah
Genesis 30:15	123	Rachel	rachel	rachel
Genesis 30:16	0	Jacob	jacob	jacob
Genesis 30:16	46	Leah	leah	leah
Genesis 30:17	16	Leah	leah	leah
Genesis 30:17	50	Jacob	jacob	jacob
Genesis 30:18	0	Leah	leah	leah
Genesis 30:19	0	Leah	leah	leah
Genesis 30:19	46	Jacob	jacob	jacob
Genesis 30:20	0	Leah	leah	leah
Genesis 30:22	15	Rachel	rachel	rachel
Genesis 30:24	14	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Genesis 30:25	5	Rachel	rachel	rachel
Genesis 30:25	22	Joseph	joseph-son-of-jacob	joseph-son-of-jacob
Genesis 30:25	30	Jacob	jacob	jacob
Genesis 30:31	34	Jacob	jacob	jacob
Genesis 30:36	47	Jacob	jacob	jacob
Genesis 30:36	58	Jacob	jacob	jacob
Genesis 30:37	0	Jacob	jacob	jacob
Genesis 30:40	0	Jacob	jacob	jacob
Genesis 30:41	46	Jacob	jacob	jacob
Genesis 30:42	101	Jacob	jacob	jacob
Genesis 31:1	45	Jacob	jacob	jacob
Genesis 31:2	0	Jacob	jacob	jacob
Genesis 31:3	15	Jacob	jacob	jacob
Genesis 31:4	0	Jacob	jacob	jacob
Genesis 31:4	22	Rachel	rachel	rachel
Genesis 31:4	33	Leah	leah	leah
Genesis 31:11	43	Jacob	jacob	jacob
Genesis 31:14	0	Rachel	rachel	rachel
Genesis 31:14	11	Leah	leah	leah
Genesis 31:17	5	Jacob	jacob	jacob
